id,genre_Action,genre_Adventure,genre_Casual,genre_Early Access,genre_Free to Play,genre_Indie,genre_RPG,genre_Racing,genre_Simulation,genre_Sports,genre_Strategy,genre_VR,publisher,price,early_access,developer,release_year
10.0,1,0,0,0,0,0,0,0,0,0,0,0,Valve,9.99,False,Valve,2000
20.0,1,0,0,0,0,0,0,0,0,0,0,0,Valve,4.99,False,Valve,1999
30.0,1,0,0,0,0,0,0,0,0,0,0,0,Valve,4.99,False,Valve,2003
40.0,1,0,0,0,0,0,0,0,0,0,0,0,Valve,4.99,False,Valve,2001
50.0,1,0,0,0,0,0,0,0,0,0,0,0,Valve,4.99,False,Gearbox Software,1999
60.0,1,0,0,0,0,0,0,0,0,0,0,0,Valve,4.99,False,Valve,2000
70.0,1,0,0,0,0,0,0,0,0,0,0,0,Valve,9.99,False,Valve,1998
80.0,1,0,0,0,0,0,0,0,0,0,0,0,Valve,9.99,False,Valve,2004
130.0,1,0,0,0,0,0,0,0,0,0,0,0,Valve,4.99,False,Gearbox Software,2001
220.0,1,0,0,0,0,0,0,0,0,0,0,0,Valve,9.99,False,Valve,2004
240.0,1,0,0,0,0,0,0,0,0,0,0,0,Valve,19.99,False,Valve,2004
280.0,1,0,0,0,0,0,0,0,0,0,0,0,Valve,9.99,False,Valve,2004
300.0,1,0,0,0,0,0,0,0,0,0,0,0,Valve,9.99,False,Valve,2010
320.0,1,0,0,0,0,0,0,0,0,0,0,0,Valve,4.99,False,Valve,2004
340.0,1,0,0,0,0,0,0,0,0,0,0,0,Valve,0.0,False,Valve,2005
360.0,1,0,0,0,0,0,0,0,0,0,0,0,Valve,9.99,False,Valve,2006
380.0,1,0,0,0,0,0,0,0,0,0,0,0,Valve,7.99,False,Valve,2006
400.0,1,0,0,0,0,0,0,0,0,0,0,0,Valve,9.99,False,Valve,2007
420.0,1,0,0,0,0,0,0,0,0,0,0,0,Valve,7.99,False,Valve,2007
