item_id,user_id,recommend
1250,76561197970982479,True
22200,76561197970982479,True
43110,76561197970982479,True
251610,js41637,True
227300,js41637,True
239030,js41637,True
370360,evcentric,True
237930,evcentric,True
263360,evcentric,True
107200,evcentric,True
224500,evcentric,True
250320,doctr,True
20920,doctr,True
204100,doctr,True
224600,doctr,True
207610,doctr,True
108710,doctr,True
211420,maplemage,True
211820,maplemage,True
730,maplemage,True
204300,maplemage,True
249130,Wackky,True
207610,Wackky,True
550,Wackky,True
65800,Wackky,True
220,Wackky,True
72850,76561198089393905,True
440,76561198089393905,True
304930,76561198077246154,True
4000,WeiEDKrSat,True
42910,thequeenpanda,True
232090,death-hunter,True
1250,death-hunter,True
4000,death-hunter,True
304930,DJKamBer,True
570,DJKamBer,True
218620,DJKamBer,True
224260,DJKamBer,True
1250,DJKamBer,True
440,DJKamBer,True
730,Rainbow-Dashie,True
440,Rainbow-Dashie,True
49520,Rainbow-Dashie,True
33440,76561198043472122,False
220200,MarbleShrine,True
211820,PPanther,True
440,devvonst,True
218740,devvonst,True
550,devvonst,True
238090,starkillershadow553,True
277430,starkillershadow553,True
8870,76561198058373434,True
368230,76561198048353577,True
33930,76561198048353577,True
359320,76561198066046412,False
219640,76561198066046412,True
287980,tru_mu_,True
208090,76561198070565427,True
242700,76561198070565427,True
570,76561198070565427,False
224260,76561198070565427,True
221100,SavageEeEe,True
570,76561198076909484,True
331470,KanadeTheNeko,True
4000,KanadeTheNeko,True
304930,GoAwayZach,True
12210,76561198054540475,True
265210,76561198054540475,True
48700,76561198054540475,True
730,76561198061252210,True
113200,OfficialShroomsy,True
440,boydeer,True
383080,boydeer,False
213670,VVillis,True
105600,76561198083226897,True
730,76561198075277292,True
570,76561198075277292,True
231180,76561198028895010,True
620,76561198028895010,True
223710,diego9031,True
299360,diego9031,True
322330,diego9031,True
1250,diego9031,True
12100,diego9031,True
204360,diego9031,True
440,diego9031,True
224260,diego9031,True
440,jarrodtrim,True
440,76561198067936203,True
1840,76561198079770573,True
440,76561198087586464,True
440,Derp-e,True
233250,76561198070194565,True
248570,76561198070194565,True
298630,Rivtex,True
244210,UTNerd24,True
440,UTNerd24,True
376920,UTNerd24,True
257750,UTNerd24,True
221910,UTNerd24,True
2280,UTNerd24,True
417860,sandwiches1,False
218620,76561198138053270,True
218620,lucaswerg,True
222880,lucaswerg,True
377160,Life-Of-Blu,True
211820,Life-Of-Blu,True
252490,CaptianAutismo,True
440,76561198075895633,True
251990,kube134,True
344760,iamthekingofbrowntown,False
252950,iamthekingofbrowntown,True
399730,iamthekingofbrowntown,True
377160,yookobz,True
219150,yookobz,True
277430,Posiblydead,True
239820,Posiblydead,True
17410,Posiblydead,True
440,Mossy_Gaming,True
270550,76561198102421718,True
274940,76561198102421718,True
333930,76561198102421718,True
440,76561198087407319,True
730,76561198056741844,True
212070,sad-commie,True
264140,sad-commie,True
332800,76561198030567998,True
319630,76561198030567998,True
6020,76561198030567998,True
55230,76561198030567998,True
32430,76561198030567998,True
35450,Coldaniel,True
440,Coldaniel,True
236390,Coldaniel,True
351570,therealmorty,True
212680,therealmorty,True
391540,Berserklejerker,True
550,76561198061730629,True
440,YoHuNz,True
570,YoHuNz,True
72850,possessioniskey,True
440,possessioniskey,True
113400,possessioniskey,True
440,76561198093112529,True
200510,76561198060447950,True
730,whiteofwolfing,True
383080,sergarino,True
1250,76561198081962345,True
265610,Nozomikat,True
264200,Nozomikat,True
417860,Nozomikat,True
333600,Nozomikat,True
213670,Nozomikat,True
91310,Nozomikat,True
210770,Nozomikat,True
351640,xfluttersx,True
105600,xfluttersx,True
440,xfluttersx,True
47870,xfluttersx,True
383080,xfluttersx,True
410,xfluttersx,True
730,76561198056290589,True
253710,ii_voltage_ii,False
339280,ii_voltage_ii,True
271290,ii_voltage_ii,True
203290,ii_voltage_ii,True
440,76561198097762318,True
233150,76561198097762318,True
550,Hirukaz,True
730,StelerForYou,True
211820,StelerForYou,True
440,76561198183396245,True
224260,Xx-Woods,True
317360,Xx-Woods,True
295550,Xx-Woods,True
250180,Xx-Woods,True
227940,Xx-Woods,True
17520,Xx-Woods,True
113420,Xx-Woods,True
320760,kevinator23,True
8850,kevinator23,True
233720,kevinator23,True
218620,kevinator23,True
730,kevinator23,True
219740,kevinator23,True
220240,kevinator23,True
440,kevinator23,True
4000,76561198090715178,True
304930,76561198090715178,True
333950,CatsWhale,True
388520,CatsWhale,True
107410,CatsWhale,True
206210,CatsWhale,True
221100,76561198073784601,True
730,mimimomoma,True
440,76561198102410011,True
209870,de_Butl3r,True
440,Bluezap1,True
730,Bluezap1,True
362890,Bluezap1,True
413850,Bluezap1,True
